launch_time,users,converted_users,event_time,busy,available
2023-12-20 02:00:00,3,1,2023-12-20 02:00:00,54,25
2023-12-20 02:01:00,5,2,2023-12-20 02:01:00,50,28
2023-12-20 02:02:00,3,2,2023-12-20 02:02:00,56,25
2023-12-20 02:03:00,6,1,2023-12-20 02:03:00,55,24
2023-12-20 02:04:00,6,1,2023-12-20 02:04:00,51,27
2023-12-20 02:05:00,3,0,2023-12-20 02:05:00,51,27
2023-12-20 02:07:00,3,0,2023-12-20 02:07:00,61,18
2023-12-20 02:08:00,3,0,2023-12-20 02:08:00,66,7
2023-12-20 02:09:00,2,0,2023-12-20 02:09:00,58,13
2023-12-20 02:10:00,6,0,2023-12-20 02:10:00,49,22
2023-12-20 02:11:00,7,2,2023-12-20 02:11:00,42,31
2023-12-20 02:12:00,2,0,2023-12-20 02:12:00,56,17
2023-12-20 02:13:00,4,2,2023-12-20 02:13:00,55,18
2023-12-20 02:14:00,10,3,2023-12-20 02:14:00,49,24
2023-12-20 02:15:00,5,0,2023-12-20 02:15:00,48,24
2023-12-20 02:16:00,6,2,2023-12-20 02:16:00,64,10
2023-12-20 02:17:00,5,1,2023-12-20 02:17:00,66,8
2023-12-20 02:18:00,5,1,2023-12-20 02:18:00,63,13
2023-12-20 02:19:00,6,3,2023-12-20 02:19:00,63,17
2023-12-20 02:20:00,8,0,2023-12-20 02:20:00,63,17
2023-12-20 02:21:00,2,0,2023-12-20 02:21:00,65,14
2023-12-20 02:22:00,2,0,2023-12-20 02:22:00,63,18
2023-12-20 02:23:00,4,0,2023-12-20 02:23:00,68,13
2023-12-20 02:24:00,1,0,2023-12-20 02:24:00,69,16
2023-12-20 02:25:00,5,1,2023-12-20 02:25:00,54,31
2023-12-20 02:26:00,2,0,2023-12-20 02:26:00,42,43
2023-12-20 02:27:00,4,1,2023-12-20 02:27:00,66,20
2023-12-20 02:28:00,4,0,2023-12-20 02:28:00,69,19
2023-12-20 02:29:00,6,1,2023-12-20 02:29:00,74,17
2023-12-20 02:30:00,7,2,2023-12-20 02:30:00,70,21
2023-12-20 02:31:00,5,2,2023-12-20 02:31:00,69,22
2023-12-20 02:32:00,7,1,2023-12-20 02:32:00,68,22
2023-12-20 02:33:00,2,0,2023-12-20 02:33:00,66,24
2023-12-20 02:34:00,7,3,2023-12-20 02:34:00,64,26
2023-12-20 02:35:00,9,3,2023-12-20 02:35:00,64,24
2023-12-20 02:36:00,6,1,2023-12-20 02:36:00,65,23
2023-12-20 02:37:00,7,1,2023-12-20 02:37:00,69,19
2023-12-20 02:38:00,4,2,2023-12-20 02:38:00,72,18
2023-12-20 02:39:00,4,1,2023-12-20 02:39:00,71,19
2023-12-20 02:40:00,8,1,2023-12-20 02:40:00,69,21
2023-12-20 02:41:00,11,2,2023-12-20 02:41:00,61,26
2023-12-20 02:42:00,6,3,2023-12-20 02:42:00,64,25
2023-12-20 02:43:00,4,1,2023-12-20 02:43:00,59,39
2023-12-20 02:44:00,5,2,2023-12-20 02:44:00,67,32
2023-12-20 02:45:00,5,1,2023-12-20 02:45:00,63,36
2023-12-20 02:46:00,3,1,2023-12-20 02:46:00,71,30
2023-12-20 02:47:00,6,1,2023-12-20 02:47:00,74,27
2023-12-20 02:48:00,1,0,2023-12-20 02:48:00,80,22
2023-12-20 02:49:00,9,1,2023-12-20 02:49:00,69,32
2023-12-20 02:50:00,5,0,2023-12-20 02:50:00,76,27
2023-12-20 02:51:00,5,0,2023-12-20 02:51:00,70,35
2023-12-20 02:52:00,3,1,2023-12-20 02:52:00,78,27
2023-12-20 02:53:00,2,0,2023-12-20 02:53:00,71,34
2023-12-20 02:54:00,5,1,2023-12-20 02:54:00,61,44
2023-12-20 02:55:00,6,1,2023-12-20 02:55:00,74,31
2023-12-20 02:56:00,3,1,2023-12-20 02:56:00,70,31
2023-12-20 02:57:00,4,0,2023-12-20 02:57:00,65,34
2023-12-20 02:58:00,6,0,2023-12-20 02:58:00,80,17
2023-12-20 02:59:00,4,1,2023-12-20 02:59:00,83,14
2023-12-20 03:00:00,2,1,2023-12-20 03:00:00,77,20
2023-12-20 03:01:00,4,0,2023-12-20 03:01:00,65,32
2023-12-20 03:02:00,5,0,2023-12-20 03:02:00,65,33
2023-12-20 03:03:00,2,0,2023-12-20 03:03:00,63,35
2023-12-20 03:04:00,5,2,2023-12-20 03:04:00,85,13
2023-12-20 03:05:00,4,2,2023-12-20 03:05:00,73,25
2023-12-20 03:06:00,6,2,2023-12-20 03:06:00,81,17
2023-12-20 03:07:00,3,2,2023-12-20 03:07:00,79,18
2023-12-20 03:08:00,5,0,2023-12-20 03:08:00,80,15
2023-12-20 03:09:00,9,2,2023-12-20 03:09:00,69,25
2023-12-20 03:10:00,6,0,2023-12-20 03:10:00,67,28
2023-12-20 03:11:00,4,0,2023-12-20 03:11:00,75,20
2023-12-20 03:12:00,5,0,2023-12-20 03:12:00,79,13
2023-12-20 03:13:00,9,2,2023-12-20 03:13:00,78,13
2023-12-20 03:14:00,5,0,2023-12-20 03:14:00,82,13
2023-12-20 03:15:00,2,2,2023-12-20 03:15:00,80,16
2023-12-20 03:16:00,7,1,2023-12-20 03:16:00,75,21
2023-12-20 03:17:00,6,1,2023-12-20 03:17:00,84,12
2023-12-20 03:18:00,5,1,2023-12-20 03:18:00,85,11
2023-12-20 03:19:00,3,0,2023-12-20 03:19:00,86,11
2023-12-20 03:20:00,1,0,2023-12-20 03:20:00,86,11
2023-12-20 03:21:00,4,1,2023-12-20 03:21:00,89,10
2023-12-20 03:22:00,1,1,2023-12-20 03:22:00,85,12
2023-12-20 03:23:00,4,1,2023-12-20 03:23:00,83,14
2023-12-20 03:24:00,6,2,2023-12-20 03:24:00,81,17
2023-12-20 03:25:00,6,1,2023-12-20 03:25:00,80,18
2023-12-20 03:26:00,2,1,2023-12-20 03:26:00,73,25
2023-12-20 03:27:00,3,0,2023-12-20 03:27:00,73,25
2023-12-20 03:28:00,1,0,2023-12-20 03:28:00,79,20
2023-12-20 03:29:00,1,0,2023-12-20 03:29:00,79,22
2023-12-20 03:30:00,2,0,2023-12-20 03:30:00,81,23
2023-12-20 03:31:00,9,4,2023-12-20 03:31:00,84,19
2023-12-20 03:32:00,6,0,2023-12-20 03:32:00,89,15
2023-12-20 03:33:00,7,2,2023-12-20 03:33:00,82,15
2023-12-20 03:34:00,7,2,2023-12-20 03:34:00,85,13
2023-12-20 03:35:00,3,1,2023-12-20 03:35:00,83,16
2023-12-20 03:36:00,3,0,2023-12-20 03:36:00,80,18
2023-12-20 03:37:00,4,1,2023-12-20 03:37:00,80,18
2023-12-20 03:38:00,4,1,2023-12-20 03:38:00,85,13
2023-12-20 03:39:00,5,1,2023-12-20 03:39:00,74,25
2023-12-20 03:40:00,6,3,2023-12-20 03:40:00,79,19
2023-12-20 03:41:00,5,1,2023-12-20 03:41:00,83,15
2023-12-20 03:42:00,2,0,2023-12-20 03:42:00,88,10
2023-12-20 03:43:00,4,1,2023-12-20 03:43:00,84,15
2023-12-20 03:44:00,6,2,2023-12-20 03:44:00,84,15
2023-12-20 03:45:00,5,0,2023-12-20 03:45:00,83,16
2023-12-20 03:46:00,4,1,2023-12-20 03:46:00,84,15
2023-12-20 03:47:00,3,1,2023-12-20 03:47:00,83,16
2023-12-20 03:48:00,5,1,2023-12-20 03:48:00,80,17
2023-12-20 03:49:00,6,2,2023-12-20 03:49:00,84,12
2023-12-20 03:50:00,5,2,2023-12-20 03:50:00,79,17
2023-12-20 03:51:00,4,0,2023-12-20 03:51:00,80,16
2023-12-20 03:52:00,8,0,2023-12-20 03:52:00,75,21
2023-12-20 03:53:00,3,1,2023-12-20 03:53:00,79,18
2023-12-20 03:54:00,2,1,2023-12-20 03:54:00,72,25
2023-12-20 03:56:00,4,0,2023-12-20 03:56:00,67,27
2023-12-20 03:57:00,4,1,2023-12-20 03:57:00,62,27
2023-12-20 03:58:00,4,1,2023-12-20 03:58:00,62,28
2023-12-20 03:59:00,3,1,2023-12-20 03:59:00,65,25
2023-12-20 04:00:00,2,1,2023-12-20 04:00:00,69,22
2023-12-20 04:01:00,3,0,2023-12-20 04:01:00,60,20
2023-12-20 04:02:00,1,1,2023-12-20 04:02:00,60,20
2023-12-20 04:03:00,5,2,2023-12-20 04:03:00,62,18
2023-12-20 04:04:00,2,0,2023-12-20 04:04:00,60,20
2023-12-20 04:05:00,2,0,2023-12-20 04:05:00,61,19
2023-12-20 04:06:00,3,0,2023-12-20 04:06:00,61,19
2023-12-20 04:07:00,3,2,2023-12-20 04:07:00,57,23
2023-12-20 04:08:00,4,1,2023-12-20 04:08:00,43,25
2023-12-20 04:09:00,7,1,2023-12-20 04:09:00,45,23
2023-12-20 04:10:00,1,0,2023-12-20 04:10:00,47,21
2023-12-20 04:11:00,4,3,2023-12-20 04:11:00,47,20
2023-12-20 04:12:00,4,0,2023-12-20 04:12:00,46,19
2023-12-20 04:13:00,6,0,2023-12-20 04:13:00,47,16
2023-12-20 04:14:00,5,2,2023-12-20 04:14:00,47,16
2023-12-20 04:15:00,2,1,2023-12-20 04:15:00,48,15
2023-12-20 04:16:00,4,2,2023-12-20 04:16:00,51,12
2023-12-20 04:17:00,9,2,2023-12-20 04:17:00,50,14
2023-12-20 04:18:00,3,0,2023-12-20 04:18:00,53,10
2023-12-20 04:19:00,5,3,2023-12-20 04:19:00,52,11
2023-12-20 04:20:00,5,2,2023-12-20 04:20:00,54,9
2023-12-20 04:21:00,4,1,2023-12-20 04:21:00,45,18
2023-12-20 04:22:00,6,0,2023-12-20 04:22:00,45,18
2023-12-20 04:23:00,7,0,2023-12-20 04:23:00,44,19
2023-12-20 04:24:00,4,0,2023-12-20 04:24:00,47,16
2023-12-20 04:25:00,6,1,2023-12-20 04:25:00,49,16
2023-12-20 04:26:00,7,3,2023-12-20 04:26:00,45,21
2023-12-20 04:27:00,4,1,2023-12-20 04:27:00,41,20
2023-12-20 04:28:00,5,1,2023-12-20 04:28:00,36,16
2023-12-20 04:29:00,4,3,2023-12-20 04:29:00,39,14
2023-12-20 04:30:00,6,0,2023-12-20 04:30:00,43,14
2023-12-20 04:31:00,6,1,2023-12-20 04:31:00,43,13
2023-12-20 04:32:00,4,0,2023-12-20 04:32:00,44,12
2023-12-20 04:33:00,2,1,2023-12-20 04:33:00,40,16
2023-12-20 04:34:00,10,0,2023-12-20 04:34:00,43,12
2023-12-20 04:35:00,6,0,2023-12-20 04:35:00,44,10
2023-12-20 04:36:00,3,1,2023-12-20 04:36:00,45,8
2023-12-20 04:37:00,6,1,2023-12-20 04:37:00,44,9
2023-12-20 04:38:00,7,0,2023-12-20 04:38:00,40,12
2023-12-20 04:39:00,6,1,2023-12-20 04:39:00,41,11
2023-12-20 04:40:00,2,0,2023-12-20 04:40:00,41,11
2023-12-20 04:41:00,3,0,2023-12-20 04:41:00,41,11
2023-12-20 04:42:00,3,1,2023-12-20 04:42:00,48,10
2023-12-20 04:43:00,6,2,2023-12-20 04:43:00,45,12
2023-12-20 04:44:00,6,1,2023-12-20 04:44:00,45,12
2023-12-20 04:45:00,5,3,2023-12-20 04:45:00,44,13
2023-12-20 04:46:00,1,0,2023-12-20 04:46:00,48,9
2023-12-20 04:47:00,4,2,2023-12-20 04:47:00,42,15
2023-12-20 04:48:00,5,1,2023-12-20 04:48:00,40,19
2023-12-20 04:49:00,8,2,2023-12-20 04:49:00,39,20
2023-12-20 04:50:00,7,2,2023-12-20 04:50:00,42,17
2023-12-20 04:51:00,7,2,2023-12-20 04:51:00,40,15
2023-12-20 04:52:00,8,0,2023-12-20 04:52:00,40,14
2023-12-20 04:53:00,3,0,2023-12-20 04:53:00,29,18
2023-12-20 04:54:00,4,1,2023-12-20 04:54:00,29,16
2023-12-20 04:55:00,8,0,2023-12-20 04:55:00,30,18
2023-12-20 04:56:00,3,0,2023-12-20 04:56:00,36,14
2023-12-20 04:57:00,4,1,2023-12-20 04:57:00,34,16
2023-12-20 04:58:00,2,0,2023-12-20 04:58:00,36,14
2023-12-20 04:59:00,3,0,2023-12-20 04:59:00,39,12
2023-12-20 05:00:00,3,0,2023-12-20 05:00:00,41,9
2023-12-20 05:01:00,9,0,2023-12-20 05:01:00,33,11
2023-12-20 05:02:00,5,1,2023-12-20 05:02:00,32,12
2023-12-20 05:03:00,8,0,2023-12-20 05:03:00,32,12
2023-12-20 05:04:00,4,1,2023-12-20 05:04:00,36,9
2023-12-20 05:05:00,8,1,2023-12-20 05:05:00,33,11
2023-12-20 05:06:00,2,1,2023-12-20 05:06:00,26,29
2023-12-20 05:07:00,4,3,2023-12-20 05:07:00,37,18
2023-12-20 05:08:00,5,2,2023-12-20 05:08:00,39,16
2023-12-20 05:09:00,4,2,2023-12-20 05:09:00,44,11
2023-12-20 05:10:00,6,2,2023-12-20 05:10:00,48,8
2023-12-20 05:11:00,9,2,2023-12-20 05:11:00,42,14
2023-12-20 05:12:00,6,3,2023-12-20 05:12:00,43,13
2023-12-20 05:13:00,4,1,2023-12-20 05:13:00,49,7
2023-12-20 05:14:00,7,1,2023-12-20 05:14:00,51,5
2023-12-20 05:15:00,5,2,2023-12-20 05:15:00,52,4
2023-12-20 05:16:00,5,3,2023-12-20 05:16:00,45,11
2023-12-20 05:17:00,6,2,2023-12-20 05:17:00,48,8
2023-12-20 05:18:00,4,0,2023-12-20 05:18:00,53,3
2023-12-20 05:19:00,3,0,2023-12-20 05:19:00,57,0
2023-12-20 05:20:00,7,3,2023-12-20 05:20:00,54,4
2023-12-20 05:21:00,9,1,2023-12-20 05:21:00,51,6
2023-12-20 05:22:00,8,1,2023-12-20 05:22:00,63,4
2023-12-20 05:23:00,8,1,2023-12-20 05:23:00,63,5
2023-12-20 05:24:00,12,0,2023-12-20 05:24:00,62,5
2023-12-20 05:25:00,5,1,2023-12-20 05:25:00,57,8
2023-12-20 05:26:00,2,1,2023-12-20 05:26:00,43,22
2023-12-20 05:27:00,7,1,2023-12-20 05:27:00,57,8
2023-12-20 05:28:00,7,0,2023-12-20 05:28:00,52,11
2023-12-20 05:29:00,10,2,2023-12-20 05:29:00,53,11
2023-12-20 05:30:00,2,2,2023-12-20 05:30:00,58,5
2023-12-20 05:31:00,7,0,2023-12-20 05:31:00,57,7
2023-12-20 05:32:00,7,1,2023-12-20 05:32:00,64,3
2023-12-20 05:33:00,1,0,2023-12-20 05:33:00,62,5
2023-12-20 05:34:00,6,0,2023-12-20 05:34:00,61,6
2023-12-20 05:35:00,6,1,2023-12-20 05:35:00,58,9
2023-12-20 05:36:00,6,1,2023-12-20 05:36:00,56,10
2023-12-20 05:37:00,3,0,2023-12-20 05:37:00,51,15
2023-12-20 05:38:00,5,1,2023-12-20 05:38:00,56,10
2023-12-20 05:39:00,5,0,2023-12-20 05:39:00,63,3
2023-12-20 05:40:00,10,2,2023-12-20 05:40:00,56,10
2023-12-20 05:41:00,6,2,2023-12-20 05:41:00,51,12
2023-12-20 05:42:00,8,2,2023-12-20 05:42:00,55,8
2023-12-20 05:43:00,5,0,2023-12-20 05:43:00,53,10
2023-12-20 05:44:00,6,3,2023-12-20 05:44:00,50,13
2023-12-20 05:45:00,15,3,2023-12-20 05:45:00,52,11
2023-12-20 05:46:00,5,0,2023-12-20 05:46:00,56,7
2023-12-20 05:47:00,6,0,2023-12-20 05:47:00,59,4
2023-12-20 05:48:00,4,1,2023-12-20 05:48:00,56,9
2023-12-20 05:49:00,3,0,2023-12-20 05:49:00,60,8
2023-12-20 05:50:00,5,0,2023-12-20 05:50:00,57,8
2023-12-20 05:51:00,6,2,2023-12-20 05:51:00,56,9
2023-12-20 05:52:00,5,0,2023-12-20 05:52:00,58,9
2023-12-20 05:53:00,8,0,2023-12-20 05:53:00,53,14
2023-12-20 05:54:00,3,2,2023-12-20 05:54:00,48,20
2023-12-20 05:55:00,4,1,2023-12-20 05:55:00,53,15
2023-12-20 05:56:00,4,0,2023-12-20 05:56:00,57,10
2023-12-20 05:57:00,8,3,2023-12-20 05:57:00,58,8
2023-12-20 05:58:00,5,0,2023-12-20 05:58:00,54,11
2023-12-20 05:59:00,5,1,2023-12-20 05:59:00,49,14
2023-12-20 06:00:00,4,1,2023-12-20 06:00:00,42,21
2023-12-20 06:01:00,6,3,2023-12-20 06:01:00,45,19
2023-12-20 06:02:00,5,0,2023-12-20 06:02:00,58,6
2023-12-20 06:03:00,7,4,2023-12-20 06:03:00,52,13
2023-12-20 06:04:00,3,1,2023-12-20 06:04:00,44,20
2023-12-20 06:05:00,9,1,2023-12-20 06:05:00,51,12
2023-12-20 06:06:00,9,1,2023-12-20 06:06:00,49,14
2023-12-20 06:07:00,2,1,2023-12-20 06:07:00,55,9
2023-12-20 06:08:00,4,0,2023-12-20 06:08:00,52,12
2023-12-20 06:09:00,4,0,2023-12-20 06:09:00,59,5
2023-12-20 06:10:00,2,2,2023-12-20 06:10:00,58,6
2023-12-20 06:11:00,5,2,2023-12-20 06:11:00,56,8
2023-12-20 06:12:00,1,0,2023-12-20 06:12:00,55,9
2023-12-20 06:13:00,3,0,2023-12-20 06:13:00,56,8
2023-12-20 06:14:00,3,0,2023-12-20 06:14:00,51,10
2023-12-20 06:15:00,5,1,2023-12-20 06:15:00,41,21
2023-12-20 06:16:00,2,0,2023-12-20 06:16:00,50,29
2023-12-20 06:17:00,5,0,2023-12-20 06:17:00,55,24
2023-12-20 06:18:00,3,1,2023-12-20 06:18:00,69,10
2023-12-20 06:19:00,2,2,2023-12-20 06:19:00,67,12
2023-12-20 06:20:00,4,1,2023-12-20 06:20:00,70,9
2023-12-20 06:21:00,3,0,2023-12-20 06:21:00,75,4
2023-12-20 06:22:00,4,1,2023-12-20 06:22:00,72,10
2023-12-20 06:23:00,6,1,2023-12-20 06:23:00,54,16
2023-12-20 06:24:00,5,1,2023-12-20 06:24:00,46,22
2023-12-20 06:25:00,5,2,2023-12-20 06:25:00,50,18
2023-12-20 06:26:00,7,0,2023-12-20 06:26:00,54,26
2023-12-20 06:27:00,6,2,2023-12-20 06:27:00,55,25
2023-12-20 06:28:00,5,2,2023-12-20 06:28:00,65,15
2023-12-20 06:29:00,1,0,2023-12-20 06:29:00,63,17
2023-12-20 06:30:00,6,1,2023-12-20 06:30:00,66,14
2023-12-20 06:31:00,1,0,2023-12-20 06:31:00,63,17
2023-12-20 06:32:00,5,4,2023-12-20 06:32:00,67,14
2023-12-20 06:33:00,1,0,2023-12-20 06:33:00,62,19
2023-12-20 06:34:00,3,0,2023-12-20 06:34:00,62,20
2023-12-20 06:35:00,7,0,2023-12-20 06:35:00,70,15
2023-12-20 06:36:00,6,1,2023-12-20 06:36:00,72,13
2023-12-20 06:37:00,4,1,2023-12-20 06:37:00,75,10
2023-12-20 06:38:00,2,1,2023-12-20 06:38:00,75,11
2023-12-20 06:39:00,10,1,2023-12-20 06:39:00,73,13
2023-12-20 06:40:00,7,2,2023-12-20 06:40:00,65,22
2023-12-20 06:41:00,3,1,2023-12-20 06:41:00,58,29
2023-12-20 06:42:00,4,1,2023-12-20 06:42:00,59,29
2023-12-20 06:43:00,6,2,2023-12-20 06:43:00,62,30
2023-12-20 06:44:00,5,1,2023-12-20 06:44:00,65,33
2023-12-20 06:45:00,3,1,2023-12-20 06:45:00,74,35
2023-12-20 06:46:00,4,2,2023-12-20 06:46:00,75,34
2023-12-20 06:47:00,5,3,2023-12-20 06:47:00,88,21
2023-12-20 06:48:00,6,0,2023-12-20 06:48:00,89,20
2023-12-20 06:49:00,2,0,2023-12-20 06:49:00,89,19
2023-12-20 06:50:00,4,0,2023-12-20 06:50:00,90,19
2023-12-20 06:51:00,7,0,2023-12-20 06:51:00,92,17
